ds,yhat
2020-10-17,491227.1413
2020-10-18,378782.8877
2020-10-19,769380.1385
2020-10-20,822582.3905
2020-10-21,821079.3109
2020-10-22,815209.1276
2020-10-23,811092.287
2020-10-24,514375.146
2020-10-25,402071.9988
2020-10-26,791841.6154
2020-10-27,843247.0146
2020-10-28,839005.9566
2020-10-29,829513.0337
2020-10-30,820972.2087
2020-10-31,519138.5859
2020-11-01,401157.759
2020-11-02,784838.9745
2020-11-03,829910.9239
2020-11-04,819267.7501
2020-11-05,803486.2688
2020-11-06,788953.3884
2020-11-07,481602.6534
2020-11-08,358748.4042
2020-11-09,738353.9403
2020-11-10,780282.6439
2020-11-11,767539.7863
2020-11-12,750786.1461
2020-11-13,736462.5298
2020-11-14,430524.2149
2020-11-15,310273.8771
2020-11-16,693629.4364
2020-11-17,740375.8011
2020-11-18,733408.2279
2020-11-19,723248.3964
2020-11-20,716172.2324
2020-11-21,417948.4204
2020-11-22,305676.0636
2020-11-23,697057.8037
2020-11-24,751657.2411
2020-11-25,752148.2218
2020-11-26,748836.9292
2020-11-27,747795.6517
2020-11-28,454607.0009
2020-11-29,346206.882
2020-11-30,740162.3765
2020-12-01,795933.2448
2020-12-02,796124.4933
2020-12-03,791010.8498
2020-12-04,786671.942
2020-12-05,488736.9074
2020-12-06,374226.7153
2020-12-07,760830.3705
2020-12-08,808163.739
2020-12-09,799018.5086
2020-12-10,783882.2132
2020-12-11,769068.2311
2020-12-12,460454.6181
2020-12-13,335320.2055
2020-12-14,711614.2972
2020-12-15,749208.8768
2020-12-16,731141.0133
2020-12-17,708126.5687
2020-12-18,686684.2864
2020-12-19,372869.2801
2020-12-20,244104.4964
2020-12-21,618446.6098
2020-12-22,655835.3661
2020-12-23,639334.1373
2020-12-24,619642.8451
2020-12-25,603222.3528
2020-12-26,296029.3376
2020-12-27,175350.1818
2020-12-28,559070.2776
2020-12-29,606927.6692
2020-12-30,601758.6838
2020-12-31,594016.5717
2021-01-01,589902.1044
2021-01-02,295104.9776
2021-01-03,186644.3843
2021-01-04,582144.977
2021-01-05,641096.965
2021-01-06,646107.8323
2021-01-07,647426.5334
2021-01-08,651078.9748
2021-01-09,362613.5028
2021-01-10,258944.66
2021-01-11,657631.3497
2021-01-12,718138.1055
2021-01-13,723086.9259
2021-01-14,722780.5379
2021-01-15,723335.9304
2021-01-16,430426.9402
2021-01-17,321124.2375
2021-01-18,713168.9621
2021-01-19,766228.8339
2021-01-20,763144.3446
2021-01-21,754446.0514
2021-01-22,746481.9777
2021-01-23,445154.0709
2021-01-24,327752.2315
2021-01-25,712222.3222
2021-01-26,758417.1315
2021-01-27,749338.031
2021-01-28,735648.4643
2021-01-29,723798.366
2021-01-30,419758.5325
2021-01-31,300853.502
2021-02-01,685029.3731
2021-02-02,732105.5256
2021-02-03,725017.9501
2021-02-04,714335.262
2021-02-05,706386.4175
2021-02-06,406999.0478
2021-02-07,293336.8484
2021-02-08,683172.3176
2021-02-09,736143.6638
2021-02-10,735003.4353
2021-02-11,730139.7992
2021-02-12,727709.3362
2021-02-13,433380.1258
2021-02-14,324173.4307
2021-02-15,717740.1556
2021-02-16,773620.8051
2021-02-17,774496.417
2021-02-18,770711.3422
2021-02-19,768406.7079
2021-02-20,473263.334
2021-02-21,362342.4282
2021-02-22,753360.2778
2021-02-23,805945.7277
2021-02-24,802888.0034
2021-02-25,794655.8534
2021-02-26,787526.9631
2021-02-27,487326.5345
2021-02-28,371263.493
2021-03-01,757200.6729
2021-03-02,804907.9065
2021-03-03,797305.7054
