ds,yhat
2019-03-15,751914.2327
2019-03-16,446609.8868
2019-03-17,326128.3784
2019-03-18,717171.8846
2019-03-19,772388.0396
2019-03-20,769671.2871
2019-03-21,760078.0071
2019-03-22,753999.2704
2019-03-23,450840.9553
2019-03-24,332109.709
2019-03-25,724456.5063
2019-03-26,780495.2319
2019-03-27,778104.8875
2019-03-28,768344.9667
2019-03-29,761627.8486
2019-03-30,457397.9607
2019-03-31,337216.2292
2019-04-01,727801.6223
2019-04-02,781847.2797
2019-04-03,777319.9114
2019-04-04,765372.1003
2019-04-05,756511.459
2019-04-06,450276.495
2019-04-07,328317.8102
2019-04-08,717436.5415
2019-04-09,770397.6358
2019-04-10,765226.7336
2019-04-11,753120.3748
2019-04-12,744613.5433
2019-04-13,439254.4579
2019-04-14,318685.267
2019-04-15,709680.5727
2019-04-16,764961.3755
2019-04-17,762493.1921
2019-04-18,753398.025
2019-04-19,748124.1438
2019-04-20,446123.5188
2019-04-21,328935.4819
2019-04-22,723228.4489
2019-04-23,781617.1954
2019-04-24,781964.337
2019-04-25,775295.585
2019-04-26,771972.6387
2019-04-27,471373.4556
2019-04-28,354978.3859
2019-04-29,749413.9277
2019-04-30,807271.5302
2019-05-01,806410.0453
2019-05-02,797871.3669
2019-05-03,792053.1031
2019-05-04,488388.0263
2019-05-05,368428.8083
2019-05-06,758889.8373
2019-05-07,812463.597
2019-05-08,807120.2811
2019-05-09,794020.2627
2019-05-10,783683.3597
2019-05-11,475664.7386
2019-05-12,351636.0727
2019-05-13,738423.8532
2019-05-14,788822.4426
2019-05-15,780890.6397
2019-05-16,765861.4695
2019-05-17,754309.2182
2019-05-18,445823.6249
2019-05-19,322089.8979
2019-05-20,709926.4899
2019-05-21,762098.2403
2019-05-22,756613.6522
2019-05-23,744636.0005
2019-05-24,736652.2539
2019-05-25,432149.6689
2019-05-26,312698.6557
2019-05-27,704993.7688
2019-05-28,761670.3372
2019-05-29,760605.4029
2019-05-30,752832.5562
2019-05-31,748714.5454
2019-06-01,447623.4097
2019-06-02,331026.6361
2019-06-03,725531.0953
2019-06-04,783702.188
2019-06-05,783366.7976
2019-06-06,775529.5801
2019-06-07,770546.4261
2019-06-08,467804.8222
2019-06-09,348809.603
2019-06-10,740225.865
2019-06-11,794696.5012
2019-06-12,790143.0008
2019-06-13,777679.1072
2019-06-14,767781.2461
2019-06-15,459965.5384
2019-06-16,335869.9853
2019-06-17,722293.7008
2019-06-18,772010.754
2019-06-19,763067.3723
2019-06-20,746692.2004
2019-06-21,733463.6224
2019-06-22,422984.0486
2019-06-23,296959.8308
2019-06-24,682238.7415
2019-06-25,731622.6266
2019-06-26,723164.0136
2019-06-27,708076.3804
2019-06-28,696902.0886
2019-06-29,389187.8595
2019-06-30,266566.4179
2019-07-01,655796.1836
2019-07-02,709576.5534
2019-07-03,705847.4739
2019-07-04,695702.9245
2019-07-05,689562.2153
2019-07-06,386848.8836
2019-07-07,269075.7105
2019-07-08,662887.6448
2019-07-09,720880.0821
2019-07-10,720901.117
2019-07-11,713967.3138
2019-07-12,710436.8405
2019-07-13,409689.7003
2019-07-14,293213.5545
2019-07-15,687646.9037
2019-07-16,745597.0816
2019-07-17,744941.6933
2019-07-18,736743.0768
2019-07-19,731419.6826
2019-07-20,428424.1633
2019-07-21,309326.7392
2019-07-22,700855.6885
2019-07-23,755712.4997
2019-07-24,751870.4086
2019-07-25,740485.9901
2019-07-26,732067.7849
2019-07-27,426151.8373
2019-07-28,304382.7862
2019-07-29,693552.4216
2019-07-30,746413.3003
2019-07-31,740976.1835
2019-08-01,728420.9924
2019-08-02,719265.2737
2019-08-03,413040.0482
2019-08-04,291371.663
2019-08-05,681021.53
2019-08-06,734701.2939
2019-08-07,730372.1382
2019-08-08,719157.8536
2019-08-09,711515.5896
2019-08-10,406914.0791
2019-08-11,286917.8771
2019-08-12,678229.4112
2019-08-13,733506.3117
2019-08-14,730662.6532
2019-08-15,720783.6702
2019-08-16,714297.8083
2019-08-17,410655.8619
2019-08-18,291415.7063
2019-08-19,683284.4078
2019-08-20,738935.1776
2019-08-21,736307.8165
2019-08-22,726522.2406
2019-08-23,720048.9911
2019-08-24,416386.5342
2019-08-25,297143.9213
2019-08-26,689080.6682
2019-08-27,744921.3967
2019-08-28,742653.967
2019-08-29,733440.7745
2019-08-30,727787.1962
2019-08-31,425217.0653
2019-09-01,307353.8172
2019-09-02,700959.2217
2019-09-03,758747.2934
2019-09-04,758682.1432
2019-09-05,751889.4642
2019-09-06,748825.6402
2019-09-07,448954.3455
2019-09-08,333829.2511
2019-09-09,730134.7097
2019-09-10,790501.9563
2019-09-11,792809.5193
2019-09-12,788097.4563
2019-09-13,786739.3172
2019-09-14,488121.6131
2019-09-15,373729.3096
2019-09-16,770189.1282
2019-09-17,830088.0985
2019-09-18,831275.9769
2019-09-19,824781.0699
2019-09-20,820983.3033
2019-09-21,519294.2674
2019-09-22,401242.7245
2019-09-23,793517.3449
2019-09-24,848784.1188
2019-09-25,844987.0768
2019-09-26,833261.8958
2019-09-27,824106.2871
2019-09-28,517056.9637
2019-09-29,393771.7595
2019-09-30,781068.7593
2019-10-01,831739.9919
2019-10-02,823848.4265
2019-10-03,808637.9622
2019-10-04,796700.4169
2019-10-05,487649.4197
2019-10-06,363199.8786
2019-10-07,750204.9698
2019-10-08,801468.277
2019-10-09,795039.8785
2019-10-10,782126.1153
2019-10-11,773257.0653
2019-10-12,467961.631
2019-10-13,347848.892
2019-10-14,739647.6285
2019-10-15,796021.5837
2019-10-16,794869.1859
2019-10-17,787237.3669
2019-10-18,783493.3949
2019-10-19,483004.5086
2019-10-20,367223.8777
2019-10-21,762734.6641
2019-10-22,822069.6215
2019-10-23,823014.8243
2019-10-24,816527.0447
2019-10-25,812908.5833
2019-10-26,511489.248
2019-10-27,393713.9236
2019-10-28,786187.4528
2019-10-29,841494.2243
2019-10-30,837501.0494
2019-10-31,825272.8509
2019-11-01,815245.008
2019-11-02,506902.1041
2019-11-03,381861.6026
2019-11-04,766914.2655
2019-11-05,814838.8303
2019-11-06,803699.6542
2019-11-07,784756.9916
2019-11-08,768633.8965
2019-11-09,454989.6476
2019-11-10,325598.3708
2019-11-11,707384.8187
2019-11-12,753234.9573
2019-11-13,741290.1881
2019-11-14,722854.9789
2019-11-15,708561.9758
2019-11-16,398044.5577
2019-11-17,273015.542
2019-11-18,660304.0146
2019-11-19,712667.9156
2019-11-20,708091.1685
2019-11-21,697695.058
2019-11-22,691907.8363
2019-11-23,390142.407
2019-11-24,273880.6648
2019-11-25,669716.3147
2019-11-26,730173.6453
2019-11-27,733010.8813
2019-11-28,729137.6484
2019-11-29,728790.3693
2019-11-30,431215.2798
2019-12-01,317757.4946
2019-12-02,714907.8158
2019-12-03,775124.645
2019-12-04,776139.531
2019-12-05,768875.8224
2019-12-06,763624.2027
2019-12-07,459724.7833
2019-12-08,338654.2046
2019-12-09,727069.4791
2019-12-10,777626.0114
2019-12-11,768278.4238
2019-12-12,750193.7759
2019-12-13,733921.0953
2019-12-14,419067.0523
2019-12-15,287376.3911
2019-12-16,665769.0303
2019-12-17,707151.4421
2019-12-18,689711.1123
2019-12-19,664823.84
2019-12-20,643217.9477
2019-12-21,324645.3758
2019-12-22,190958.3948
2019-12-23,569143.9469
2019-12-24,612133.2962
2019-12-25,598095.8394
2019-12-26,578346.8466
2019-12-27,563513.1963
2019-12-28,253207.0317
2019-12-29,129106.0078
2019-12-30,517992.043
2019-12-31,572566.1386
2020-01-01,570747.9798
2020-01-02,563589.9361
2020-01-03,561449.3564
2020-01-04,263668.918
2020-01-05,151663.5186
2020-01-06,551965.4548
2020-01-07,617045.2832
