ds,y
2015-01-28,922297
2015-01-29,898174
2015-01-30,933971
2015-01-31,551745
2015-02-01,293689
2015-02-02,632367
2015-02-03,947457
2015-02-04,957218
2015-02-05,932148
2015-02-06,959648
2015-02-07,600789
2015-02-08,399923
2015-02-09,936475
2015-02-10,965833
2015-02-11,966071
2015-02-12,883395
2015-02-13,911949
2015-02-14,514916
2015-02-15,336299
2015-02-16,652807
2015-02-17,912529
2015-02-18,833785
2015-02-19,576326
2015-02-20,847700
2015-02-21,565948
2015-02-22,378733
2015-02-23,857014
2015-02-24,901872
2015-02-25,905748
2015-02-26,857402
2015-02-27,903421
2015-02-28,542479
2015-03-01,383971
2015-03-02,912384
2015-03-03,904439
2015-03-04,928771
2015-03-05,909192
2015-03-06,909446
2015-03-07,585771
2015-03-08,399324
2015-03-09,935951
2015-03-10,953173
2015-03-11,955083
2015-03-12,953310
2015-03-13,950690
2015-03-14,605758
2015-03-15,432055
2015-03-16,939583
2015-03-17,934438
2015-03-18,937056
2015-03-19,928929
2015-03-20,932331
2015-03-21,566447
2015-03-22,383134
2015-03-23,817246
2015-03-24,904344
2015-03-25,916538
2015-03-26,925361
2015-03-27,888293
2015-03-28,539031
2015-03-29,362329
2015-03-30,903992
2015-03-31,922487
2015-04-01,974353
2015-04-02,897550
2015-04-03,814328
2015-04-04,582015
2015-04-05,393690
2015-04-06,807389
2015-04-07,813597
2015-04-08,822289
2015-04-09,748326
2015-04-10,828661
2015-04-11,586791
2015-04-12,410420
2015-04-13,908654
2015-04-14,946490
2015-04-15,904861
2015-04-16,890058
2015-04-17,936814
2015-04-18,599954
2015-04-19,394676
2015-04-20,907393
2015-04-21,931681
2015-04-22,925517
2015-04-23,935537
2015-04-24,912926
2015-04-25,496407
2015-04-26,419729
2015-04-27,925541
2015-04-28,941909
2015-04-29,934550
2015-04-30,923564
2015-05-01,993931
2015-05-02,629640
2015-05-03,435591
2015-05-04,933337
2015-05-05,918652
2015-05-06,951886
2015-05-07,956437
2015-05-08,916218
2015-05-09,572064
2015-05-10,385323
2015-05-11,869148
2015-05-12,904654
2015-05-13,926402
2015-05-14,912634
2015-05-15,921190
2015-05-16,561092
2015-05-17,415263
2015-05-18,908842
2015-05-19,902867
2015-05-20,906942
2015-05-21,921476
2015-05-22,908692
2015-05-23,575386
2015-05-24,401488
2015-05-25,397951
2015-05-26,878946
2015-05-27,921204
2015-05-28,925094
2015-05-29,892551
2015-05-30,481814
2015-05-31,388866
2015-06-01,942997
2015-06-02,933346
2015-06-03,964899
2015-06-04,938834
2015-06-05,919157
2015-06-06,606641
2015-06-07,388946
2015-06-08,891851
2015-06-09,932006
2015-06-10,915049
2015-06-11,898644
2015-06-12,854059
2015-06-13,590950
2015-06-14,419317
2015-06-15,817931
2015-06-16,911783
2015-06-17,869500
2015-06-18,867529
2015-06-19,893122
2015-06-20,563855
2015-06-21,439513
2015-06-22,759346
2015-06-23,840211
2015-06-24,821308
2015-06-25,808260
2015-06-26,773954
2015-06-27,570969
2015-06-28,439944
2015-06-29,797072
2015-06-30,835118
2015-07-01,886380
2015-07-02,850667
2015-07-03,602599
2015-07-04,508110
2015-07-05,427090
2015-07-06,816338
2015-07-07,834983
2015-07-08,848028
2015-07-09,856253
2015-07-10,858745
2015-07-11,575848
2015-07-12,457477
2015-07-13,784509
2015-07-14,836909
2015-07-15,859672
2015-07-16,802468
2015-07-17,822257
2015-07-18,529845
2015-07-19,440059
2015-07-20,819425
2015-07-21,848416
2015-07-22,844761
2015-07-23,844483
2015-07-24,830024
2015-07-25,573827
2015-07-26,419005
2015-07-27,820529
2015-07-28,827024
2015-07-29,814733
2015-07-30,825894
2015-07-31,834790
2015-08-01,574270
2015-08-02,425896
2015-08-03,833632
2015-08-04,839704
2015-08-05,831758
2015-08-06,825012
2015-08-07,831076
2015-08-08,577878
2015-08-09,414942
2015-08-10,772518
2015-08-11,823620
2015-08-12,817244
2015-08-13,817948
2015-08-14,813718
2015-08-15,567544
2015-08-16,448872
2015-08-17,775836
